instance_id,N,lambda,arrival_rate,total_arrival_rate,per_approach_arrival_rate,replication,method,threshold,delta,max_platoon_size,Pmax,run_role,point_index,time_s,incumbent_total_delay,incumbent_average_delay,best_bound_total_delay,best_bound_average_delay,mip_gap
N20_lambda0p5_rep004_seed13559981837109448618,20,0.5,0.5,0.5,0.125,4,NP,,,1,1,uniform_600s,3,0.00556492805480957,26.0,1.3,1.0,0.05,0.9615384615384616
N20_lambda0p5_rep004_seed13559981837109448618,20,0.5,0.5,0.5,0.125,4,CHP,4,4,,,uniform_600s,0,0.0002269744873046875,62.0,3.1,-1e+100,-5e+98,1.6129032258064515e+98
N20_lambda0p5_rep004_seed13559981837109448618,20,0.5,0.5,0.5,0.125,4,CHP,4,4,,,uniform_600s,1,0.002196073532104492,39.0,1.95,1.0,0.05,0.9743589743589743
N20_lambda0p5_rep004_seed13559981837109448618,20,0.5,0.5,0.5,0.125,4,CHP,4,4,,,uniform_600s,2,0.002479076385498047,36.9999999999975,1.8499999999998749,1.0,0.05,0.9729729729729711
N20_lambda0p5_rep004_seed13559981837109448618,20,0.5,0.5,0.5,0.125,4,CHP,4,4,,,uniform_600s,3,0.003123044967651367,34.0,1.7,1.0,0.05,0.9705882352941176
N20_lambda0p5_rep004_seed13559981837109448618,20,0.5,0.5,0.5,0.125,4,CHP,4,4,,,uniform_600s,4,0.003170013427734375,26.0,1.3,3.0,0.15,0.8846153846153846
N20_lambda0p5_rep004_seed13559981837109448618,20,0.5,0.5,0.5,0.125,4,CHP,4,4,,,uniform_600s,5,0.006951093673706055,26.99999999999909,1.3499999999999546,22.733333333333235,1.1366666666666618,0.15802469135799999
N20_lambda0p5_rep004_seed13559981837109448618,20,0.5,0.5,0.5,0.125,4,PP,4,4,4,4,uniform_600s,0,0.00015401840209960938,62.0,3.1,-1e+100,-5e+98,1.6129032258064515e+98
N20_lambda0p5_rep004_seed13559981837109448618,20,0.5,0.5,0.5,0.125,4,PP,4,4,4,4,uniform_600s,1,0.0016019344329833984,39.0,1.95,1.0,0.05,0.9743589743589743
N20_lambda0p5_rep004_seed13559981837109448618,20,0.5,0.5,0.5,0.125,4,PP,4,4,4,4,uniform_600s,2,0.0018210411071777344,36.9999999999975,1.8499999999998749,1.0,0.05,0.9729729729729711
N20_lambda0p5_rep004_seed13559981837109448618,20,0.5,0.5,0.5,0.125,4,PP,4,4,4,4,uniform_600s,3,0.0022928714752197266,34.0,1.7,1.0,0.05,0.9705882352941176
N20_lambda0p5_rep004_seed13559981837109448618,20,0.5,0.5,0.5,0.125,4,PP,4,4,4,4,uniform_600s,4,0.0023229122161865234,26.0,1.3,3.0,0.15,0.8846153846153846
N20_lambda0p5_rep004_seed13559981837109448618,20,0.5,0.5,0.5,0.125,4,PP,4,4,4,4,uniform_600s,5,0.00568389892578125,26.99999999999909,1.3499999999999546,22.733333333333235,1.1366666666666618,0.15802469135799999
N20_lambda0p5_rep005_seed18293299646245598810,20,0.5,0.5,0.5,0.125,5,NP,,,1,1,uniform_600s,0,0.002177000045776367,307.9999999999993,15.399999999999967,0.0,0.0,1.0
N20_lambda0p5_rep005_seed18293299646245598810,20,0.5,0.5,0.5,0.125,5,NP,,,1,1,uniform_600s,1,0.0039370059967041016,73.0,3.65,0.0,0.0,1.0
N20_lambda0p5_rep005_seed18293299646245598810,20,0.5,0.5,0.5,0.125,5,NP,,,1,1,uniform_600s,2,0.007880926132202148,64.0,3.2,19.02521008403272,0.9512605042016361,0.7027310924369887
N20_lambda0p5_rep005_seed18293299646245598810,20,0.5,0.5,0.5,0.125,5,NP,,,1,1,uniform_600s,3,0.009048938751220703,60.0,3.0,24.674242424240038,1.233712121212002,0.5887626262626661
N20_lambda0p5_rep005_seed18293299646245598810,20,0.5,0.5,0.5,0.125,5,NP,,,1,1,uniform_600s,4,0.030605077743530273,58.99999999999545,2.949999999999773,30.39980438005845,1.5199902190029224,0.4847490783040544
N20_lambda0p5_rep005_seed18293299646245598810,20,0.5,0.5,0.5,0.125,5,NP,,,1,1,uniform_600s,5,0.037405967712402344,56.99999999999898,2.849999999999949,30.39980438005845,1.5199902190029224,0.4666700985954563
N20_lambda0p5_rep005_seed18293299646245598810,20,0.5,0.5,0.5,0.125,5,NP,,,1,1,uniform_600s,6,0.039038896560668945,52.99999999999113,2.6499999999995567,30.39980438005845,1.5199902190029224,0.4264187852818201
N20_lambda0p5_rep005_seed18293299646245598810,20,0.5,0.5,0.5,0.125,5,NP,,,1,1,uniform_600s,7,0.046556949615478516,51.000000000005514,2.5500000000002756,30.52294658066154,1.526147329033077,0.4015108513596424
N20_lambda0p5_rep005_seed18293299646245598810,20,0.5,0.5,0.5,0.125,5,NP,,,1,1,uniform_600s,8,0.17331695556640625,51.0,2.55,51.000000000005514,2.5500000000002756,1.0811395351957602e-13
N20_lambda0p5_rep005_seed18293299646245598810,20,0.5,0.5,0.5,0.125,5,CHP,4,4,,,uniform_600s,0,0.00029087066650390625,145.0,7.25,-1e+100,-5e+98,6.896551724137932e+97
N20_lambda0p5_rep005_seed18293299646245598810,20,0.5,0.5,0.5,0.125,5,CHP,4,4,,,uniform_600s,1,0.0026519298553466797,79.0,3.95,0.0,0.0,1.0
N20_lambda0p5_rep005_seed18293299646245598810,20,0.5,0.5,0.5,0.125,5,CHP,4,4,,,uniform_600s,2,0.0037729740142822266,60.0,3.0,0.0,0.0,1.0
N20_lambda0p5_rep005_seed18293299646245598810,20,0.5,0.5,0.5,0.125,5,CHP,4,4,,,uniform_600s,3,0.005342006683349609,58.0,2.9,25.017094017092916,1.2508547008546458,0.5686707928087429
N20_lambda0p5_rep005_seed18293299646245598810,20,0.5,0.5,0.5,0.125,5,CHP,4,4,,,uniform_600s,4,0.005364894866943359,57.0,2.85,25.017094017092916,1.2508547008546458,0.561103613735212
N20_lambda0p5_rep005_seed18293299646245598810,20,0.5,0.5,0.5,0.125,5,CHP,4,4,,,uniform_600s,5,0.008175849914550781,52.99999999998056,2.649999999999028,31.189810470570592,1.5594905235285297,0.41151300998901824
N20_lambda0p5_rep005_seed18293299646245598810,20,0.5,0.5,0.5,0.125,5,CHP,4,4,,,uniform_600s,6,0.020309925079345703,50.99999999999534,2.549999999999767,38.61879987232497,1.9309399936162486,0.24276862995434315
