N,lambda,arrival_rate,total_arrival_rate,per_approach_arrival_rate,method,threshold,delta,max_platoon_size,Pmax,case_count,optimality_rate,mean_average_delay_or_incumbent,median_average_delay_or_incumbent,mean_terminal_mip_gap,mean_solve_time_s,mean_end_to_end_time_s,mean_model_construction_time_s,mean_node_count,mean_number_of_platoons,mean_ordering_variable_count,mean_dimension_reduction_ratio,delay_order_check_case_count,delay_order_failure_count
40,1.5,1.5,1.5,0.375,CHP,8,8,NA,NA,10,1.0,14.647499999999999,14.225,5.604070045510127e-14,0.010525012016296386,0.015031473552272462,0.004452582355588675,52.2,6.0,13.4,0.9776666666666667,0,0
40,1.5,1.5,1.5,0.375,NP,NA,NA,1,1,10,0.0,12.0325,11.5,0.5230177750057414,600.0120341062545,600.3804450546145,0.3683178208768368,1359435.8,40.0,600.0,0.0,0,0
40,1.5,1.5,1.5,0.375,PP,2,2,2,2,10,0.6,11.787499956385844,11.4375,0.10771957961557918,387.53183259963987,387.54282058088376,0.010893379896879196,2897445.3,25.9,251.5,0.5808333333333333,0,0
40,1.5,1.5,1.5,0.375,PP,2,2,4,4,10,1.0,11.7375,11.2875,0.0,26.22840929031372,26.235986873265016,0.007503090519458055,422969.4,20.2,152.6,0.7456666666666667,0,0
40,1.5,1.5,1.5,0.375,PP,2,2,6,6,10,1.0,11.7775,11.2875,0.0,8.300728678703308,8.307850271490711,0.007054964080452919,137431.7,18.7,130.2,0.783,0,0
40,1.5,1.5,1.5,0.375,PP,2,2,8,8,10,1.0,11.737499998571428,11.2875,0.0,7.889272832870484,7.896401831446754,0.0070645083673298355,132025.0,18.4,126.5,0.7891666666666667,0,0
40,1.5,1.5,1.5,0.375,PP,4,4,2,2,10,0.9,11.942499999999999,11.1625,0.01215495858417821,170.59154098033906,170.60289795197835,0.01125117214396596,1581548.8,22.7,193.4,0.6776666666666666,0,0
40,1.5,1.5,1.5,0.375,PP,4,4,4,4,10,1.0,12.6125,12.25,0.0,1.0881937980651855,1.094489649167645,0.006224479898810387,30050.0,15.1,85.2,0.858,0,0
40,1.5,1.5,1.5,0.375,PP,4,4,6,6,10,1.0,12.51,12.0,0.0,0.240549898147583,0.24633393187427993,0.0057215699926018715,9075.6,12.8,60.8,0.8986666666666666,0,0
40,1.5,1.5,1.5,0.375,PP,4,4,8,8,10,1.0,12.63749973767695,12.25,0.0,0.10772480964660644,0.11340016060854188,0.005614421796053648,3583.4,11.7,50.6,0.9156666666666666,0,0
40,1.5,1.5,1.5,0.375,PP,6,6,2,2,10,1.0,12.2425,11.8,0.0,136.65057990550994,136.66211380649662,0.011427900567650796,1852736.3,21.3,170.2,0.7163333333333333,0,0
40,1.5,1.5,1.5,0.375,PP,6,6,4,4,10,1.0,12.9875,12.5625,0.0,0.213372802734375,0.2190572437665593,0.005617680773139,8841.6,13.1,64.3,0.8928333333333333,0,0
40,1.5,1.5,1.5,0.375,PP,6,6,6,6,10,1.0,13.4475,13.125,0.0,0.0719611644744873,0.07709809252711863,0.0050787731073796746,1818.1,9.9,36.4,0.9393333333333332,0,0
40,1.5,1.5,1.5,0.375,PP,6,6,8,8,10,1.0,13.505,13.15,0.0,0.03962571620941162,0.04450399134659734,0.004820433910936117,804.1,9.1,30.9,0.9484999999999999,0,0
40,1.5,1.5,1.5,0.375,PP,8,8,2,2,10,1.0,12.3225,11.8,0.0,83.54885668754578,83.55956855833122,0.010607456788420677,1121402.4,20.6,159.1,0.7348333333333332,0,0
40,1.5,1.5,1.5,0.375,PP,8,8,4,4,10,1.0,13.0275,12.6625,0.0,0.167824387550354,0.17348408494899512,0.005592677462846041,6016.0,12.5,58.6,0.9023333333333333,0,0
40,1.5,1.5,1.5,0.375,PP,8,8,6,6,10,1.0,13.63,13.125,0.0,0.07066543102264404,0.07570020363606615,0.004977022856473922,1112.2,9.2,31.7,0.9471666666666666,0,0
40,1.5,1.5,1.5,0.375,PP,8,8,8,8,10,1.0,13.844999999999999,13.4375,0.0,0.03084902763366699,0.0355466225295528,0.004642551206052304,393.7,8.5,27.1,0.9548333333333334,0,0
40,2.0,2.0,2.0,0.5,CHP,2,2,NA,NA,10,1.0,14.1725,14.787500000000001,0.0,2.2434654712677,2.250779265498581,0.007222212105989456,35141.5,14.3,77.3,0.8711666666666666,0,0
40,2.0,2.0,2.0,0.5,CHP,4,4,NA,NA,10,1.0,15.065000000000001,15.125,0.0,0.02888197898864746,0.034598293989036084,0.0056397953070700165,454.6,7.5,21.5,0.9641666666666666,0,0
40,2.0,2.0,2.0,0.5,CHP,6,6,NA,NA,10,1.0,16.142500000000002,16.3125,1.6348922886854752e-14,0.00886380672454834,0.01438941353755517,0.005443915817886591,33.0,5.5,11.5,0.9808333333333333,0,0
40,2.0,2.0,2.0,0.5,CHP,8,8,NA,NA,10,1.0,16.4625,16.3125,3.485947210563069e-14,0.004096031188964844,0.009559748214664411,0.005388701148331165,1.0,4.5,7.6,0.9873333333333333,0,0
40,2.0,2.0,2.0,0.5,NP,NA,NA,1,1,10,0.0,14.169999999999998,14.787500000000001,0.5065595818233684,600.0133311986923,600.0356606378369,0.022239018604159354,1435298.8,40.0,600.0,0.0,0,0
40,2.0,2.0,2.0,0.5,PP,2,2,2,2,10,0.9,14.12,14.787500000000001,0.010373247310106337,299.27755150794985,299.2886384439414,0.010997028555721045,2859802.2,24.6,226.4,0.6226666666666667,0,0
40,2.0,2.0,2.0,0.5,PP,2,2,4,4,10,1.0,14.1725,14.787500000000001,0.0,6.649199914932251,6.6569640920937445,0.007680203393101692,79672.0,17.3,112.0,0.8133333333333332,0,0
40,2.0,2.0,2.0,0.5,PP,2,2,6,6,10,1.0,14.1725,14.787500000000001,0.0,2.3254327058792112,2.3327186332665697,0.007202576473355293,39462.5,15.2,86.5,0.8558333333333333,0,0
40,2.0,2.0,2.0,0.5,PP,2,2,8,8,10,1.0,14.1725,14.787500000000001,0.0,2.124604678153992,2.1316992338609015,0.007011395413428545,35924.2,14.5,79.6,0.8673333333333334,0,0
40,2.0,2.0,2.0,0.5,PP,4,4,2,2,10,1.0,14.257499999999999,14.8375,0.0,116.25055990219116,116.25987179067018,0.009227726981043816,1487714.6,21.8,178.1,0.7031666666666666,0,0
40,2.0,2.0,2.0,0.5,PP,4,4,4,4,10,1.0,14.522499999999999,15.0375,2.366618157799654e-14,0.4006047248840332,0.40772202336044583,0.007032774388790131,12660.5,13.6,69.3,0.8845000000000001,0,0
40,2.0,2.0,2.0,0.5,PP,4,4,6,6,10,1.0,14.6725,14.8375,0.0,0.08699049949645996,0.0931253656745545,0.006053991243243217,1714.0,10.0,37.6,0.9373333333333334,0,0
40,2.0,2.0,2.0,0.5,PP,4,4,8,8,10,1.0,14.872499999999999,15.125,3.826975713838711e-14,0.052004075050354,0.05830226323161206,0.006215418968349695,1029.0,9.4,33.4,0.9443333333333334,0,0
40,2.0,2.0,2.0,0.5,PP,6,6,2,2,10,1.0,14.2775,14.8875,0.0,81.90492849349975,81.91416067803561,0.009146103169769049,1344494.6,20.8,162.3,0.7295,0,0
40,2.0,2.0,2.0,0.5,PP,6,6,4,4,10,1.0,14.59,15.1375,0.0,0.264863395690918,0.2722375258142954,0.007284175418317318,7164.7,12.7,60.6,0.899,0,0
40,2.0,2.0,2.0,0.5,PP,6,6,6,6,10,1.0,15.1125,14.8875,2.2604659173441944e-14,0.05685157775878906,0.06274685389191752,0.005812863353639841,769.9,8.8,29.0,0.9516666666666665,0,0
40,2.0,2.0,2.0,0.5,PP,6,6,8,8,10,1.0,15.62,16.112499999999997,0.0,0.0330521821975708,0.03913701771200319,0.006000154372304678,346.4,8.5,27.2,0.9546666666666667,0,0
40,2.0,2.0,2.0,0.5,PP,8,8,2,2,10,1.0,14.2775,14.8875,0.0,81.24650099277497,81.25548925818397,0.008904228452593088,1207680.3,20.2,153.0,0.745,0,0
40,2.0,2.0,2.0,0.5,PP,8,8,4,4,10,1.0,14.59,15.1375,2.2572262178337458e-14,0.16340553760528564,0.17004800259981256,0.0065579450689256195,4441.7,12.2,55.8,0.907,0,0
40,2.0,2.0,2.0,0.5,PP,8,8,6,6,10,1.0,15.352500000000001,14.8875,0.0,0.042279386520385744,0.04772198899872365,0.005371453333646059,597.1,8.3,25.8,0.9570000000000001,0,0
40,2.0,2.0,2.0,0.5,PP,8,8,8,8,10,1.0,15.9025,16.112499999999997,0.0,0.027620339393615724,0.033121682802815584,0.005427205096930265,245.7,8.2,25.2,0.958,0,0
